name,category
Inspiring Vantage,Cycle|Cycle dual land|Cycle fastland|Cycle kld fastland|Cycle land|Dual land
Insult // Injury,Burn|Burn creature|Burn planeswalker|Burn player|Burn with set's mechanic|Castable from graveyard|Castable from nonhand|Cycle|Cycle akh monocolor aftermath|Damage multiplier|Exile self|Multi removal|Multiple targets|Removal|Removal burn|Removal creature|Removal planeswalker|Spot removal|Unpreventable damage
Insurrection,Gives haste|Theft|Theft mass|Untapper|Untapper creature
Into the Fire,Burn|Burn battle|Burn creature|Burn planeswalker|Card advantage|Draw|Hand neutral|Library manipulation|Removal|Removal battle|Removal burn|Removal creature|Removal planeswalker|Sweeper|Tuck outlet|Wheel|Wheel one sided
Into the Flood Maw,Bounce|Group hug|Removal|Removal artifact|Removal aura|Removal battle|Removal bounce|Removal creature|Removal enchantment|Removal equipment|Removal nonland|Removal planeswalker|Removal spacecraft|Removal vehicle|Single target instant/sorcery|Spot removal
Invasion of Kaldheim,Burn|Burn any|Burn battle|Burn creature|Burn planeswalker|Burn player|Card advantage|Castable from exile|Castable from nonhand|Discard matters|Discard outlet land|Discarded type matters|Draw|Exile self|Exile self dfc transform|Gives castable from exile|Gives castable from nonhand|Impulsive draw|Removal|Removal burn|Removal creature|Removal planeswalker|Repeatable impulsive draw|Repeatable removal|Triggered ability|Unexile|Wheel|Wheel one sided
Invasion of Karsus,Burn|Burn creature|Burn planeswalker|Burn player|Cast trigger|Cast trigger you|Castable from exile|Castable from nonhand|Exile self|Exile self dfc transform|Group slug|Removal|Removal burn|Removal creature|Removal planeswalker|Sweeper|Triggered ability|Unexile
Invasion of Mercadia,Card advantage|Castable from exile|Castable from nonhand|Cycle|Cycle mom u mono invasion|Discard outlet|Draw|Exile self|Exile self dfc transform|Gives haste|Hand neutral|Power boost to all|Repeatable creature tokens|Repeatable token generator|Triggered ability|Unexile
Invasion of New Capenna,Attack trigger|Castable from exile|Castable from nonhand|Cycle|Cycle mom draft signpost|Cycle mom invasion signpost|Draft signpost|Exile self|Exile self dfc transform|Removal|Removal artifact|Removal creature|Removal exile|Sacrifice outlet|Sacrifice outlet artifact|Sacrifice outlet creature|Spot removal|Synergy artifact|Synergy attacker|Triggered ability|Typal creature|Typal share|Unexile
Invoke Calamity,Cycle|Cycle neo invoke|Exile self|Free cast another|Gives castable from graveyard|Gives castable from nonhand|Recursion|Synergy instant|Synergy sorcery
Irencrag Feat,Ramp|Ritual
"Iroas, God of Victory",Cycle|Cycle block ths minor god|Cycle jou minor god|Damage prevention|Damage prevention creature|Dolmen ability|Gives evasion|Indestructible god|Synergy attacker|Synergy red|Synergy white
Iron Myr,Cycle|Cycle mrd mana myr|Mana dork|Mana producer|Ramp
Irrigated Farmland,Card advantage|Cycle|Cycle akh dual cycling land|Cycle cycling land|Cycle dual cycling land|Cycle dual land|Cycle land|Draw|Dual land|Hand neutral|Nonbasic basic land type|Pure draw
Island,Cycle|Cycle land|Cycle lea basic land|Cycle mono land
Isochron Scepter,Copy|Copy instant|Free cast another|Gives castable from exile|Gives castable from nonhand|Synergy instant|Triggered ability
Isolated Chapel,Cycle|Cycle checkland|Cycle dual land|Cycle isd checkland|Cycle land|Dual land|Synergy plains|Synergy swamp
Isolated Watchtower,Card advantage|Cares about basic land|Catch up|Cost ignorer|Extra land|Impulse|Impulse land|Impulse onto battlefield|Impulse to zone|Library manipulation|Peek|Peek library|Ramp|Repeatable impulse|Top deck manipulation
It That Betrays,Ramp|Removal|Removal artifact|Removal aura|Removal battle|Removal creature|Removal enchantment|Removal equipment|Removal land|Removal permanent|Removal planeswalker|Removal sacrifice|Removal spacecraft|Removal vehicle|Repeatable removal|Spot removal|Synergy attacker self|Synergy sacrifice|Theft|Theft permanent|Triggered ability
"Ivora, Insatiable Heir",Card advantage|Discard matters|Discard outlet|Draw|Repeatable artifact tokens|Repeatable blood|Repeatable noncreature tokens|Repeatable token generator|Synergy blood|Triggered ability
Izzet Chemister,Free cast another|Gives castable from exile|Gives castable from nonhand|Graveyard fuel|Graveyard fuel instant|Graveyard fuel sorcery|Multicast|Sacrifice self|Synergy instant|Synergy sorcery
"Jace, Vryn's Prodigy",Card advantage|Cast trigger|Cast trigger you|Cycle|Cycle ori flip walker|Discard outlet|Draw|Exile self|Exile self dfc transform|Gives castable from graveyard|Gives castable from nonhand|Loot|Mill|Mill opponent|Recursion|Repeatable crime|Synergy instant|Synergy sorcery|Triggered ability
"Jace, the Mind Sculptor",Bounce|Brainstorm|Card advantage|Cycle|Cycle block zen monocolor pw|Draw|Fateseal|Library manipulation|Mill|Mill exile|Mill opponent|Peek|Peek library|Removal|Removal bounce|Removal creature|Repeatable crime|Repeatable removal|Scry like|Spot removal|Top deck manipulation|Tuck outlet
Jagged Barrens,Burn|Burn player|Cycle|Cycle dual land|Cycle land|Cycle otj pingland|Dual land|Triggered ability
Jaya's Immolating Inferno,Burn|Burn any|Burn battle|Burn creature|Burn planeswalker|Burn player|Cycle|Cycle dom legendary sorcery|Multi removal|Multiple targets|Namesake spell|Removal|Removal burn|Removal creature|Removal planeswalker|Single target instant/sorcery|Synergy legendary
Jeska's Will,Card advantage|Cycle|Cycle cmr will|Gives castable from exile|Gives castable from nonhand|Hand size hate|Hand size matters|Hate|Impulsive draw|Namesake spell|Ramp|Ritual|Single target instant/sorcery|Synergy commander
Jet Medallion,Cost reducer|Cycle|Cycle tmp medallion|Ramp|Synergy black
"Jin-Gitaxias, Core Augur",Burst draw|Card advantage|Cycle|Cycle nph praetor|Discard|Draw|Hand size decrease|Inverted effects|Pure draw|Repeatable draw|Triggered ability
"Jin-Gitaxias, Progress Tyrant",Cast trigger|Cast trigger other|Cast trigger you|Copy|Copy artifact|Copy instant|Copy permanent spell|Copy sorcery|Copy spell|Counterspell|Counterspell artifact|Counterspell automatic|Counterspell instant|Counterspell sorcery|Cycle|Cycle extraplanar praetor|Inverted effects|Synergy artifact|Synergy instant|Synergy sorcery|Triggered ability
Junk Jet,Card advantage|Exponential|Gives castable from exile|Gives castable from nonhand|Impulsive draw|Power doubler|Power matters|Sacrifice outlet|Sacrifice outlet artifact|Synergy artifact|Triggered ability
Junktown,Card advantage|Gives castable from exile|Gives castable from nonhand|Impulsive draw
Kabira Crossroads,Cycle|Cycle land|Cycle mono land|Cycle zen utilityland|Lifegain|Triggered ability
Kabira Takedown,Burn|Burn creature|Burn planeswalker|Creature count matters|Removal|Removal burn|Removal creature|Removal planeswalker|Single target instant/sorcery|Spot removal
Kalastria Highborn,Death trigger|Drain life|Inverted effects|Leaves battlefield trigger|Lifegain|Opponent loses life|Triggered ability|Typal creature|Typal vampire
"Kalitas, Bloodchief of Ghet",Aikido|Death trigger|Leaves battlefield trigger|Removal|Removal creature|Removal destroy|Repeatable creature tokens|Repeatable removal|Repeatable token generator|Spot removal|Triggered ability
"Kalitas, Traitor of Ghet",Death trigger|Leaves battlefield trigger|Lifegain|Repeatable creature tokens|Repeatable token generator|Sacrifice outlet|Sacrifice outlet creature|Triggered ability|Typal creature|Typal vampire|Typal zombie
"Kambal, Consul of Allocation",Cast trigger|Cast trigger other|Drain life|Hate|Hate noncreature|Inverted effects|Lifegain|Opponent loses life|Triggered ability
"Kambal, Profiteering Mayor",Copy|Copy token|Drain life|Group slug|Hate|Hate token|Inverted effects|Lifegain|Opponent loses life|Synergy token|Thingfall|Tokenfall|Triggered ability
Karmic Guide,Evasion|Hate|Hate black|Hate color|Reanimate|Reanimate creature|Recursion|Recursion creature|Triggered ability
Karn's Bastion,Counter increaser|Mana sink|Namesake spell
"Karn, the Great Creator",Animate|Animate artifact|Hate|Hate artifact|Mana value matters|Passive ability|Prevent activation|Recursion from exile|Repeatable crime|Unexile
Kaya the Inexorable,Card advantage|Death trigger|Free cast another|Gives castable from exile|Gives castable from graveyard|Gives castable from nonhand|Indefinite effect|Leaves battlefield trigger|Nonfunctional reminder counter|Reanimate|Reanimate cast|Recursion|Recursion creature|Recursion from exile|Regrowth creature|Removal|Removal artifact|Removal aura|Removal battle|Removal creature|Removal enchantment|Removal equipment|Removal exile|Removal nonland|Removal planeswalker|Removal spacecraft|Removal vehicle|Repeatable creature tokens|Repeatable crime|Repeatable removal|Repeatable token generator|Spot removal|Synergy exile|Synergy legendary|Triggered ability|Unexile
Kaya's Ghostform,Death trigger|Leaves battlefield trigger|Namesake spell|Protects creature|Protects planeswalker|Synergy planeswalker|Triggered ability|Unexile|Unique enchant target
Kazuul's Fury,Burn|Burn any|Burn battle|Burn creature|Burn planeswalker|Burn player|Burn with set's mechanic|Fling|Namesake spell|Power matters|Removal|Removal burn|Removal creature|Removal planeswalker|Sacrifice outlet|Sacrifice outlet creature|Single target instant/sorcery
"Kediss, Emberclaw Familiar",Cycle|Cycle cmr familiar|Multiplayer|Omnivore ability|Pair commander|Synergy commander|Triggered ability
Keldon Flamesage,Attack trigger|Card advantage|Delayed triggered ability|Free cast another|Gives castable from exile|Gives castable from nonhand|Impulse|Impulse cast|Impulse instant|Impulse sorcery|Power matters|Power matters self|Repeatable impulse|Synergy attacker self|Synergy haste|Tap fuel creature|Tap outlet|Triggered ability
Kessig Flamebreather,Burn|Burn player|Cast trigger|Cast trigger you|Group slug|Pinger|Synergy noncreature|Triggered ability
Key to the City,Card advantage|Discard outlet|Draw|Gives evasion|Inspired|Repeatable draw|Triggered ability
Kher Keep,Creates token of a card|Repeatable creature tokens|Repeatable token generator
Kheru Mind-Eater,Discard to exile|Evasion|Gives castable from exile|Gives castable from nonhand|Theft|Theft cast|Triggered ability
Khorvath's Fury,Burn|Burn player|Burn with set's mechanic|Card advantage|Cycle|Cycle bbd friend foe|Discard|Discard outlet|Draw|Group hug|Group slug|Hand neutral|Hand size hate|Hand size matters|Hate|Namesake spell|Wheel
Killing Wave,Opponent loses life|Punisher|Removal|Removal creature|Removal sacrifice|Sweeper
Kindled Fury,Combat trick|Single target instant/sorcery
Kindled Heroism,Combat trick|Library manipulation|Peek|Peek library|Single target instant/sorcery|Top deck manipulation
Kindlespark Duo,Burn|Burn player|Cast trigger|Cast trigger you|Cycle|Cycle blb duo|Pinger|Repeatable crime|Synergy noncreature|Triggered ability
Kindred Boon,Combat trick|Cycle|Cycle c17 kindred spell|Gives indestructible|Protects creature|Typal choose|Typal creature
Kindred Charge,Copy|Copy creature|Cycle|Cycle c17 kindred spell|Delayed triggered ability|Multiple bodies|Triggered ability|Typal choose|Typal creature
Kindred Dominance,Cycle|Cycle c17 kindred spell|Removal|Removal creature|Removal destroy|Sweeper|Sweeper one sided|Typal choose|Typal creature
Kinzu of the Bleak Coven,Copy|Copy creature|Death trigger|Evasion|Gives toxic|Leaves battlefield trigger|Life payment|Protects creature|Repeatable creature tokens|Repeatable token generator|Triggered ability
"Kitsa, Otterball Elite",Card advantage|Cast trigger|Cast trigger you|Copy|Copy instant|Copy sorcery|Discard outlet|Draw|Loot|Power matters|Power matters self|Specific power matters|Synergy noncreature|Triggered ability
Knight of the Ebon Legion,Gains deathtouch|Life loss matters|Mana sink|Shade pump|Triggered ability
Knollspine Dragon,Burst draw|Card advantage|Cycle|Cycle shm hideaway creature|Draw|Evasion|Triggered ability|Wheel
Kolaghan's Command,Burn|Burn any|Burn battle|Burn creature|Burn planeswalker|Burn player|Card advantage|Command|Cycle|Cycle dtk command|Discard|Hand negative|Hand neutral|Multi removal|Multiple targets|Namesake spell|Recursion|Recursion creature|Regrowth creature|Removal|Removal artifact|Removal burn|Removal creature|Removal destroy|Removal planeswalker|Single target instant/sorcery|Spot removal
Koth of the Hammer,Animate|Animate land|Burn|Burn any|Burn battle|Burn creature|Burn planeswalker|Burn player|Gives tap ability|Mana producer|Non mana ability mana|Pinger|Ramp|Removal|Removal burn|Removal creature|Removal planeswalker|Repeatable crime|Repeatable removal|Synergy mountain|Tap fuel land|Tap outlet|Untapper|Untapper land
"Koth, Fire of Resistance",Burn|Burn any|Burn battle|Burn creature|Burn planeswalker|Burn player|Landfall|Lands matter|Mountainfall|Removal|Removal burn|Removal creature|Removal planeswalker|Repeatable removal|Synergy mountain|Triggered ability|Tutor|Tutor land|Tutor land basic|Tutor land basic mountain|Tutor to|Tutor to hand
"Krark, the Thumbless",Cast trigger|Cast trigger you|Copy|Copy instant|Copy sorcery|Cycle|Cycle cmr r partner|Pair commander|Synergy instant|Synergy sorcery|Triggered ability
Kumano Faces Kakkazan,Burn|Burn planeswalker|Burn player|Burn with set's mechanic|Cast trigger|Cast trigger you|Delayed triggered ability|Exile self|Exile self dfc transform|Group slug|Namesake spell|Removal|Removal burn|Removal planeswalker|Sweeper|Sweeper one sided|Triggered ability
Kyren Negotiations,Burn|Burn planeswalker|Burn player|Pinger|Removal|Removal burn|Removal planeswalker|Repeatable crime|Repeatable removal|Tap fuel creature|Tap outlet
Laboratory Maniac,Alternate win condition|Empty library|Library size matters|Synergy mill
Labyrinth of Skophos,Hate|Hate attacker|Hate blocker|Mana sink|Remove from combat|Repeatable crime
"Laelia, the Blade Reforged",Attack trigger|Card advantage|Cycle|Cycle c21 mono legend|Gives castable from exile|Gives castable from nonhand|Impulsive draw|Leaves graveyard trigger|Repeatable impulsive draw|Synergy attacker self|Synergy exile|Triggered ability
Lambholt Raconteur,Burn|Burn player|Cast trigger|Cast trigger you|Catch 22|Group slug|Synergy noncreature|Transform improvement|Triggered ability
Land Tax,Catch up|Triggered ability|Tutor|Tutor land|Tutor land basic|Tutor to|Tutor to hand
Lantern of Revealing,Card advantage|Cost ignorer|Extra land|Impulse|Impulse land|Impulse onto battlefield|Impulse to zone|Library manipulation|Mana producer|Mana rock|Peek|Peek library|Ramp|Repeatable impulse|Scry like|Top deck manipulation
Last Chance,Alternate loss condition|Delayed triggered ability|Extra turn|Last chance|Triggered ability
Laughing Mad,Card advantage|Castable from graveyard|Castable from nonhand|Discard outlet|Draw|Exile self|Hand neutral|Hand positive
Lava Dart,Burn|Burn any|Burn battle|Burn creature|Burn planeswalker|Burn player|Burn with set's mechanic|Castable from graveyard|Castable from nonhand|Exile self|Manaless value|Removal|Removal burn|Removal creature|Removal planeswalker|Sacrifice outlet|Sacrifice outlet land|Single target instant/sorcery|Synergy mountain
Lava Spike,Burn|Burn planeswalker|Burn player|Burn with set's mechanic|Removal|Removal burn|Removal planeswalker|Single target instant/sorcery
Lavaspur Boots,Gives haste|Protects creature
"Lavinia, Azorius Renegade",Cast trigger|Cast trigger other|Counterspell|Counterspell automatic|Cycle|Cycle block grn guild champion|Cycle rna guild champion|Cycle rvr r two color legend|Hate|Hate free spell|Hatebear|Prevent cast|Triggered ability
Lazotep Quarry,Copy|Copy creature|Graveyard fuel|Graveyard fuel creature|Reanimate|Reanimate creature|Recursion|Recursion creature|Repeatable creature tokens|Repeatable token generator|Sacrifice outlet|Sacrifice outlet creature|Sacrifice outlet land|Sacrifice self|Synergy desert
Ledger Shredder,Card advantage|Cast trigger|Discard outlet|Draw|Evasion|Loot|Second spell matters|Triggered ability
Leering Emblem,Cast trigger|Cast trigger you|Triggered ability
Leering Onlooker,Evasion|Exile self|Graveyard fuel self|Multiple bodies
Legion Leadership,Combat trick|Cycle|Cycle dual land|Cycle land|Cycle mh3 draft signpost|Cycle mh3 mdfc dual land|Draft signpost|Dual land|Power doubler|Power matters|Single target instant/sorcery
Legion Lieutenant,Anthem|Cycle|Cycle rix draft signpost|Draft signpost|Power boost to all|Typal creature|Typal vampire
Legion Vanguard,Library manipulation|Mill|Mill self|Peek|Peek library|Sacrifice outlet|Sacrifice outlet creature|Surveil|Top deck manipulation
Legion's Landing,Attack trigger|Cycle|Cycle xln legendary transform|Lifegain|Ramp|Repeatable creature tokens|Repeatable token generator|Synergy attacker|Triggered ability
Let's Play a Game,Card types in graveyard matter|Cards in graveyard matter|Discard|Drain life|Group slug|Inverted effects|Lifegain|Opponent loses life|Removal|Removal creature|Removal toughness|Sweeper|Sweeper one sided
Lethal Scheme,Card advantage|Convoke|Discard outlet|Discount self|Draw|Hand negative|Loot|Mix and match|Removal|Removal creature|Removal destroy|Removal planeswalker|Single target instant/sorcery|Spot removal|Synergy black|Synergy color share|Tap fuel creature|Tap outlet
Leveler,Mill|Mill exile|Mill self|Triggered ability|Type addition from none
Leyline Axe,Gives trample|Manaless value|Potentially free
Leyline of Combustion,Burn|Burn player|Cycle|Cycle m20 leyline|Hate|Hate target|Manaless value|Potentially free|Triggered ability
Leyline of Lightning,Burn|Burn planeswalker|Burn player|Cast trigger|Cast trigger you|Cycle|Cycle gpt leyline|Potentially free|Removal|Removal burn|Removal planeswalker|Repeatable removal|Triggered ability
Leyline of Punishment,Cycle|Cycle m11 leyline|Hate|Hate lifegain|Manaless value|Potentially free|Unpreventable damage
Leyline of Resonance,Cast trigger|Cast trigger you|Copy|Copy instant|Copy sorcery|Cycle|Cycle dsk leyline|Manaless value|Potentially free|Synergy instant|Synergy sorcery|Triggered ability
Liberating Combustion,Burn|Burn creature|Burn with set's mechanic|Pwdeck tutor|Removal|Removal burn|Removal creature|Single target instant/sorcery|Spot removal|Tutor|Tutor planeswalker|Tutor to|Tutor to hand|Tutors by name
"Licia, Sanguine Tribune",Alt commander|Cycle|Cycle c17 alt commander|Discount self|Life payment|Lifegain matters
Life of the Party,Attack trigger|Copy|Copy self|Creature count matters|Synergy attacker self|Triggered ability
Light Up the Stage,Card advantage|Gives castable from exile|Gives castable from nonhand|Impulsive draw|Life loss matters
Lightless Evangel,Synergy artifact|Synergy sacrifice|Triggered ability
Lightning Bolt,Burn|Burn any|Burn battle|Burn creature|Burn planeswalker|Burn player|Cycle|Cycle lea boon|Removal|Removal burn|Removal creature|Removal planeswalker|Single target instant/sorcery
Lightning Cloud,Burn|Burn any|Burn battle|Burn creature|Burn planeswalker|Burn player|Cast trigger|Hate|Hate color|Hate red|Removal|Removal burn|Removal creature|Removal planeswalker|Repeatable removal|Synergy red|Triggered ability
Lightning Greaves,Gives haste|Gives shroud|Protects creature
Lightning Helix,Burn|Burn any|Burn battle|Burn creature|Burn planeswalker|Burn player|Cycle|Cycle 2x2 draft signpost|Cycle ima draft signpost|Cycle mkm draft signpost|Cycle mkm u gold noncreature|Cycle rvr u two color|Draft signpost|Drain creature|Drain life|Inverted effects|Lifegain|Removal|Removal burn|Removal creature|Removal planeswalker|Single target instant/sorcery
Lightning Prowess,Burn|Burn any|Burn battle|Burn creature|Burn planeswalker|Burn player|Gives haste|Pinger|Removal|Removal burn|Removal creature|Removal planeswalker|Repeatable crime|Repeatable removal
Lightning Strike,Burn|Burn any|Burn battle|Burn creature|Burn planeswalker|Burn player|Removal|Removal burn|Removal creature|Removal planeswalker|Single target instant/sorcery
Lightning Talons,
Lightning-Rig Crew,Burn|Burn player|Cast trigger|Cast trigger you|Group slug|Pinger|Triggered ability|Typal creature|Typal pirate
Likeness Looter,Card advantage|Copy|Copy creature|Cycle|Cycle woe r two color|Discard outlet|Draw|Evasion|Loot
Liliana of the Veil,Discard|Discard outlet|Divvy|Mass land denial|Multi removal|Opponent chooses|Removal|Removal artifact|Removal aura|Removal battle|Removal creature|Removal enchantment|Removal equipment|Removal land|Removal permanent|Removal planeswalker|Removal sacrifice|Removal spacecraft|Removal vehicle|Repeatable removal|Spot removal|Sweeper
"Liliana, Death's Majesty",Cost ignorer|Indefinite effect|Mill|Mill self|Reanimate|Reanimate creature|Recursion|Recursion creature|Removal|Removal creature|Removal destroy|Repeatable creature tokens|Repeatable removal|Repeatable token generator|Sweeper|Typal creature|Typal zombie
"Liliana, Dreadhorde General",Card advantage|Cycle|Cycle fdn planeswalker|Cycle war gatewatch|Death trigger|Draw|Leaves battlefield trigger|Mass land denial|Mutual sacrifice|Passive ability|Pure draw|Removal|Removal artifact|Removal aura|Removal battle|Removal creature|Removal enchantment|Removal equipment|Removal land|Removal permanent|Removal planeswalker|Removal sacrifice|Removal spacecraft|Removal vehicle|Repeatable creature tokens|Repeatable draw|Repeatable removal|Repeatable token generator|Spot removal|Sweeper|Triggered ability
"Lindblum, Industrial Regency",Burn|Burn player|Cycle|Cycle fin adventure land|Cycle land|Cycle mono land|Exile self|Group slug|Pinger|Synergy noncreature|Triggered ability
Lion's Eye Diamond,Discard hand|Discard outlet|Egg|Mana egg|Manaless value|Ramp|Sacrifice self
Liquimetal Torque,Mana producer|Mana rock|Ramp|Repeatable crime
"Livaan, Cultist of Tiamat",Cast trigger|Cast trigger you|Cycle|Cycle clb back enemy legend|Mana value matters|Namesake spell|Pair commander|Synergy noncreature|Triggered ability
Lively Dirge,Mana value matters|Reanimate|Reanimate creature|Recursion|Recursion creature|Tutor|Tutor card|Tutor to|Tutor to battlefield|Tutor to graveyard
Livewire Lash,Burn|Burn any|Burn battle|Burn creature|Burn planeswalker|Burn player|Hate|Hate target|Removal|Removal burn|Removal creature|Removal planeswalker|Repeatable crime|Repeatable removal|Triggered ability
Living Death,Reanimate|Reanimate creature|Recursion|Recursion creature|Removal|Removal creature|Removal sacrifice|Sweeper
Lobber Crew,Burn|Burn player|Cast trigger|Cast trigger you|Group slug|Pinger|Synergy multicolor|Triggered ability
Long-Term Plans,Library manipulation|Top deck manipulation|Tutor|Tutor card|Tutor to|Tutor to top
Looming Spires,Cycle|Cycle bfz utilityland|Cycle land|Cycle mono land|Triggered ability
Lore Broker,Card advantage|Discard outlet|Draw|Group hug|Loot
Lose Focus,Cast trigger|Cast trigger self|Copy|Copy self|Counterspell|Counterspell soft|Multiple targets|Single target instant/sorcery|Triggered ability
Lost Monarch of Ifnir,Card advantage|Curiosity like|Hate|Hate blocker|Mill|Mill self|Opponent loses life|Recursion|Recursion creature|Regrowth creature|Triggered ability|Typal creature|Typal zombie
"Lotho, Corrupt Shirriff",Cast trigger|Cycle|Cycle ltr r two color|Life payment|Ramp|Repeatable artifact tokens|Repeatable noncreature tokens|Repeatable token generator|Repeatable treasures|Second spell matters|Triggered ability
Lotus Field,Sacrifice outlet|Sacrifice outlet land|Triggered ability
Lotus Petal,Egg|Mana egg|Manaless value|Ramp|Ritual|Sacrifice self
Lotus Ring,Ramp|Sacrifice outlet|Sacrifice outlet creature
Loxodon Warhammer,Gives lifelink|Gives trample|Lifegain
Luminous Rebuke,Discount self|Hate|Hate tapped|Removal|Removal creature|Removal destroy|Single target instant/sorcery|Spot removal
Lunar Convocation,Card advantage|Draw|Group slug|Life for cards|Life loss matters|Life payment|Lifegain matters|Mana sink|Opponent loses life|Pure draw|Repeatable creature tokens|Repeatable draw|Repeatable token generator|Triggered ability
Lunarch Veteran,Castable from graveyard|Castable from nonhand|Creaturefall|Death to exile|Evasion|Leaves battlefield trigger|Lifegain|Reanimate|Reanimate self|Recursion|Recursion self|Soul warden ability|Thingfall|Transform mirror|Triggered ability
Lurrus of the Dream-Den,Cycle|Cycle iko companion|Deck requirement|Gives castable from graveyard|Gives castable from nonhand|Lifegain|Reanimate|Reanimate cast|Recursion
Luxury Suite,Cycle|Cycle bbd bond land|Cycle bondland|Cycle dual land|Cycle land|Dual land|Multiplayer
Macabre Reconstruction,Card advantage|Discount self|Hand positive|Multiple targets|Recursion|Recursion creature|Regrowth creature|Single target instant/sorcery
Macabre Waltz,Card advantage|Discard outlet|Hand neutral|Multiple targets|Recursion|Recursion creature|Regrowth creature|Single target instant/sorcery
Madcap Skills,Gives evasion
Maddening Hex,Burn|Burn player|Cast trigger|Hate|Hate noncreature|Multiplayer|Triggered ability
Maestros Theater,Cycle|Cycle land|Cycle nonmana land|Cycle snc fetchland|Fetchland|Lifegain|Manaless land|Sacrifice self|Triggered ability|Tutor|Tutor land|Tutor land basic|Tutor land basic island|Tutor land basic mountain|Tutor land basic swamp|Tutor land to battlefield|Tutor to|Tutor to battlefield
"Magda, the Hoardmaster",Ramp|Repeatable artifact tokens|Repeatable creature tokens|Repeatable noncreature tokens|Repeatable token generator|Repeatable treasures|Synergy crime|Synergy treasure|Triggered ability
Magebane Armor,Damage prevention|Damage prevention creature
Magebane Lizard,Burn|Burn player|Cast trigger|Cast trigger other|Cast trigger you|Hate|Hate noncreature|Hate storm|Triggered ability
Magic Missile,Burn|Burn any|Burn battle|Burn creature|Burn planeswalker|Burn player|Hate|Hate counterspell|Multi removal|Multiple targets|Removal|Removal burn|Removal creature|Removal planeswalker|Single target instant/sorcery
Magma Jet,Burn|Burn any|Burn battle|Burn creature|Burn planeswalker|Burn player|Burn with set's mechanic|Library manipulation|Peek|Peek library|Removal|Removal burn|Removal creature|Removal planeswalker|Single target instant/sorcery|Top deck manipulation
Magmakin Artillerist,Burn|Burn player|Card advantage|Cycle trigger self|Discard matters|Draw|Group slug|Hand neutral|Pure draw|Triggered ability
Magnetic Mountain,Hate|Hate blue|Hate color|Lockdown creature|Multi removal|Removal|Removal creature|Triggered ability|Untapper|Untapper creature
Magus of the Moon,Blood moon effect|Cycle|Cycle fut magus|Hate|Hate nonbasic land|Mass land denial
Magus of the Wheel,Burst draw|Card advantage|Cycle|Cycle sorcery magus|Discard|Discard hand|Discard outlet|Draw|Sacrifice self|Wheel|Wheel symmetrical
"Maha, Its Feathers Night",Cycle blb m mono legend|Discard|Evasion|Humble|Triggered ability
Make Your Move,Disenchant/naturalize|Hate|Hate high pt|Removal|Removal artifact|Removal creature|Removal destroy|Removal enchantment|Single target instant/sorcery|Spot removal
Makeshift Munitions,Burn|Burn any|Burn battle|Burn creature|Burn planeswalker|Burn player|Removal|Removal burn|Removal creature|Removal planeswalker|Repeatable removal|Sacrifice outlet|Sacrifice outlet artifact|Sacrifice outlet creature|Synergy artifact
Malakir Bloodwitch,Drain life|Evasion|Group slug|Hate|Hate color|Hate white|Inverted effects|Lifegain|Opponent loses life|Triggered ability|Typal creature|Typal vampire
Malakir Rebirth,Death trigger|Leaves battlefield trigger|Life payment|Protects creature|Single target instant/sorcery|Triggered ability
"Malcolm, Alluring Scoundrel",Card advantage|Counters matter|Discard outlet|Draw|Evasion|Free cast another|Loot|Triggered ability
Mana Clash,Burn|Burn player|Single target instant/sorcery
Mana Confluence,Life payment
Mana Drain,Aikido|Counterspell|Delayed triggered ability|Interrupt|Mana value matters|Ramp|Single target instant/sorcery|Triggered ability
Mana Flare,Mana increaser|Ramp|Triggered ability
Mana Geode,Library manipulation|Mana producer|Mana rock|Peek|Peek library|Ramp|Top deck manipulation|Triggered ability
Mana Geyser,Hate|Hate tapped|Ramp|Ritual
Mana Vault,Mana producer|Mana rock|Ramp|Triggered ability
Manabarbs,Burn|Burn player|Group slug|Triggered ability
Marauding Blight-Priest,Group slug|Lifegain matters|Lifegain to damage|Opponent loses life|Triggered ability
March of Reckless Joy,Card advantage|Cycle|Cycle neo march|Discount self|Gives castable from exile|Gives castable from nonhand|Impulsive draw|Synergy red
March of Swirling Mist,Cycle|Cycle neo march|Discount self|Multiple targets|Phasing|Protects creature|Single target instant/sorcery|Synergy blue
March of the Canonized,Lifegain|Multiple bodies|Repeatable creature tokens|Repeatable token generator|Synergy black|Synergy white|Triggered ability
Mardu Banner,Card advantage|Cycle|Cycle ktk banner|Draw|Egg|Hand neutral|Mana producer|Mana rock|Pure draw|Ramp|Sacrifice self
Markov Baron,Anthem|Castable from exile|Castable from nonhand|Convoke|Delayed triggered ability|Discount self|Exile self|Lifegain|Mix and match|Power boost to all|Synergy black|Synergy color share|Tap fuel creature|Tap outlet|Triggered ability|Typal creature|Typal vampire|Unexile
Markov Crusader,Gains haste|Lifegain|Typal creature|Typal vampire
Markov Enforcer,Burn|Burn creature|Card advantage|Death trigger|Discard outlet|Draw|Hunger trigger|Leaves battlefield trigger|Removal|Removal burn|Removal creature|Removal fight|Repeatable artifact tokens|Repeatable blood|Repeatable crime|Repeatable noncreature tokens|Repeatable removal|Repeatable token generator|Triggered ability|Typal creature|Typal vampire
